no,date,name,scale,amount,indicator,address,price,total,company
WS-S-20160205-00014,2016/2/5,天奇新城二期,大型,110000,109614,无锡市惠山区洛社镇312国道北、人民路东,214,17800,北京世纪豪森建筑设计有限公司
WS-S-20160311-00024,2016/3/10,天奇新城二期,中型,14,109614,无锡市惠山区洛社镇312国道北、人民路东,214,17350,北京世纪豪森建筑设计有限公司
WS-S-20160224-00015,2016/2/22,银禧家园（XDG（XQ）-2011-24号地块）,大型,91537,面积,无锡市泰山路北侧，锡兴路西侧,228.8,108000,广州市住宅建筑设计院有限公司
WS-S-20160128-00009,2016/1/25,宜兴市杨巷镇文化中心新建工程设计,中型,5000,面积,宜兴市杨巷,25,2850,中科院建筑设计研究院有限公司
WS-S-20160317-00029,2016/3/14,中铁一局城轨公司掘进设备技术中心项目,中型,34225,10226,无锡市锡山高铁商务区，胶山路南，联福路西,46,35000,中铁第四勘察设计院集团有限公司
WS-S-20160128-00010,2016/1/25,中国恒天.宋庄--宜兴陶瓷创意产业中心二期项目,大型,54124.87,单体建筑面积,宜兴市丁蜀镇西望村,97.56,23939,上海新建设建筑设计有限公司
WS-S-20160120-00004,2016/1/19,XDG-2012-7号地块住宅商业项目,中型,67035,总建筑设计面积,江苏省无锡市惠山区玉祁镇,469.25,40000,上海众谊建筑设计有限公司
WS-S-20160229-00018,2016/2/29,江苏静远建设工程有限公司隔热保温节能铝合金门窗及幕墙生产线及搬迁项目(设计),小型,14874,面积,宜兴市湖父镇,9.38,10500,上海同大规划建筑设计有限公司
WS-S-20160229-00019,2016/2/29,宜兴市红十字会血站（扩建）和120急救指挥中心（新建）(设计),小型,13773,面积,环科园,29.8,10000,上海同大规划建筑设计有限公司
WS-S-20160311-00025,2016/3/9,XDG-2010-45号地块商业、办公、居住用房,大型,99300,建筑面积,无锡市惠山区盛案西路,218.46,29881.27,中国建筑上海设计研究院有限公司
WS-S-20160302-00020,2016/3/2,无锡宇培仓储发展有限公司XDG(XD)-2015-08号地块新建仓储及配套用房项目,大型,132447.18,132447.18,江苏省无锡市锡虞路拥军路,195.62,82350,上海新建设建筑设计有限公司
WS-S-20160328-00037,2016/3/31,九如城养生社区二期项目（设计）,中型,109632.6,最大单体面积2267.327平方米,江苏省无锡宜兴市,439,100000,上海天华建筑设计有限公司
WS-S-20160128-00008,2016/1/26,XDG-2012-7号地块住宅商业项目,中型,67035,总建筑设计面积,江苏省无锡市惠山区玉祁镇,469.25,40000,上海众谊建筑设计有限公司
WS-S-20160311-00023,2016/3/10,半山溪畔商住楼住宅区34号楼（设计）,小型,3170,框架结构，地下二层，地上三层，建筑面积3170平方米,宜兴市 张渚镇,8,500,武汉地大建筑设计有限公司
WS-S-20160317-00032,2016/3/15,城西小学教学楼扩建(设计),小型,843,面积,宜兴市宜城街道城西,3,350,上海同大规划建筑设计有限公司
WS-S-20160323-00034,2016/3/22,无锡白金汉爵大酒店二期工程,大型,45000,45000,无锡市,405,35030,上海精典规划建筑设计有限公司
WS-S-20160323-00035,2016/3/23,XDG-2014-42号地块开发居住用房建设项目,大型,80325.94,设计全过程,无锡市滨湖区景达路以南、南湖中路以北、洪口圩河以东和悦溪道以西,144,65000,中国建筑上海设计研究院有限公司
